,year,artist,track,time,genre,date_enter,date_peak,week,peak_rank,daystopeak
18,2000,Mya,Case Of The Ex (Whatcha Gonna Do),3:50,Rock,2000-08-19,2000-12-02,1.0,72.0,105 days 00:00:00.000000000
19,2000,Dream,He Loves U Not,3:43,Rock,2000-09-30,2000-12-30,1.0,99.0,91 days 00:00:00.000000000
20,2000,"Braxton, Toni",He Wasn't Man Enough,4:21,Rock,2000-03-18,2000-05-06,1.0,63.0,49 days 00:00:00.000000000
21,2000,"Anthony, Marc",You Sang To Me,3:50,Latin,2000-02-26,2000-06-03,1.0,77.0,98 days 00:00:00.000000000
22,2000,98¡,Give Me Just One Night (Una Noche),3:24,Rock,2000-08-19,2000-09-30,1.0,51.0,42 days 00:00:00.000000000
23,2000,Destiny's Child,Jumpin' Jumpin',3:48,Rock,2000-05-13,2000-08-19,1.0,74.0,98 days 00:00:00.000000000
24,2000,3 Doors Down,Kryptonite,3:53,Rock,2000-04-08,2000-11-11,1.0,81.0,217 days 00:00:00.000000000
25,2000,Sisqo,Thong Song,4:05,Rock,2000-01-29,2000-05-20,1.0,74.0,112 days 00:00:00.000000000
26,2000,"Aguilera, Christina",I Turn To You,4:00,Rock,2000-04-15,2000-07-01,1.0,50.0,77 days 00:00:00.000000000
27,2000,"Houston, Whitney",My Love Is Your Love,4:16,Rock,1999-09-04,2000-01-08,1.0,81.0,126 days 00:00:00.000000000
28,2000,Joe,I Wanna Know,4:57,Rock,2000-01-01,2000-07-01,1.0,94.0,182 days 00:00:00.000000000
29,2000,"Jordan, Montell",Get It On.. Tonite,4:34,Rap,1999-10-23,2000-02-12,1.0,92.0,112 days 00:00:00.000000000
30,2000,N'Sync,Bye Bye Bye,3:15,Rock,2000-01-29,2000-04-15,1.0,42.0,77 days 00:00:00.000000000
31,2000,Eminem,The Real Slim Shady,4:42,Rap,2000-05-06,2000-06-24,1.0,70.0,49 days 00:00:00.000000000
32,2000,Pink,Most Girls,4:06,Rock,2000-08-12,2000-11-25,1.0,85.0,105 days 00:00:00.000000000
33,2000,"Mumba, Samantha",Gotta Tell You,3:19,Rock,2000-09-09,2000-12-09,1.0,85.0,91 days 00:00:00.000000000
34,2000,Blaque,Bring It All To Me,3:46,Pop,1999-10-23,2000-01-22,1.0,73.0,91 days 00:00:00.000000000
35,2000,"Elliott, Missy ""Misdemeanor""",Hot Boyz,3:51,Rap,1999-11-27,2000-01-08,1.0,36.0,42 days 00:00:00.000000000
36,2000,"Gray, Macy",I Try,3:52,Rock,2000-02-19,2000-05-20,1.0,68.0,91 days 00:00:00.000000000
37,2000,N'Sync,This I Promise You,4:23,Rock,2000-09-30,2000-12-02,1.0,68.0,63 days 00:00:00.000000000
38,2000,Ruff Endz,No More,3:56,Rock,2000-07-01,2000-09-02,1.0,76.0,63 days 00:00:00.000000000
39,2000,"Backstreet Boys, The",Show Me The Meaning Of Being Lonely,3:54,Rock,2000-01-01,2000-03-18,1.0,74.0,77 days 00:00:00.000000000
40,2000,Nine Days,Absolutely (Story Of A Girl),3:09,Rock,2000-05-06,2000-07-22,1.0,85.0,77 days 00:00:00.000000000
41,2000,"Dion, Celine",That's The Way It Is,4:03,Rock,1999-11-13,2000-03-04,1.0,74.0,112 days 00:00:00.000000000
42,2000,Blink-182,All The Small Things,2:52,Rock,1999-12-04,2000-02-19,1.0,89.0,77 days 00:00:00.000000000
43,2000,Eiffel 65,Blue (Da Ba Dee),3:29,Electronica,1999-12-11,2000-01-29,1.0,67.0,49 days 00:00:00.000000000
44,2000,"Badu, Erkyah",Bag Lady,5:03,Rock,2000-08-19,2000-10-07,1.0,67.0,49 days 00:00:00.000000000
45,2000,Pink,There U Go,3:23,Rock,2000-03-04,2000-04-08,1.0,25.0,35 days 00:00:00.000000000
46,2000,Creed,Higher,5:16,Rock,1999-09-11,2000-07-22,1.0,81.0,315 days 00:00:00.000000000
47,2000,Nelly,(Hot S**t) Country Grammar,4:17,Rap,2000-04-29,2000-09-16,1.0,100.0,140 days 00:00:00.000000000
48,2000,Next,Wifey,4:03,Rock,2000-05-27,2000-09-09,1.0,85.0,105 days 00:00:00.000000000
49,2000,Kenny G,Auld Lang Syne (The Millenium Mix),7:50,Jazz,1999-12-25,2000-01-08,1.0,89.0,14 days 00:00:00.000000000
50,2000,Sonique,It Feels So Good,3:48,Rock,2000-01-22,2000-04-22,1.0,67.0,91 days 00:00:00.000000000
51,2000,"Spears, Britney",Oops!.. I Did It Again,3:30,Rock,2000-04-22,2000-06-10,1.0,67.0,49 days 00:00:00.000000000
52,2000,"Backstreet Boys, The",Shape Of My Heart,3:49,Rock,2000-10-14,2000-12-02,1.0,39.0,49 days 00:00:00.000000000
53,2000,Everclear,Wonderful,4:30,Rock,2000-07-08,2000-09-30,1.0,77.0,84 days 00:00:00.000000000
54,2000,Ja Rule,Between Me And You,4:05,Rap,2000-09-16,2000-11-18,1.0,85.0,63 days 00:00:00.000000000
55,2000,"Rimes, LeAnn",I Need You,3:42,Country,2000-05-27,2000-08-12,1.0,77.0,77 days 00:00:00.000000000
56,2000,Smash Mouth,Then The Morning Comes,3:04,Rock,1999-10-30,2000-01-29,1.0,83.0,91 days 00:00:00.000000000
57,2000,Jay-Z,I Just Wanna Love U (Give It 2 Me),3:50,Rap,2000-10-28,2000-12-30,1.0,58.0,63 days 00:00:00.000000000
58,2000,Jagged Edge,Let's Get Married,4:23,Rock,2000-05-06,2000-07-29,1.0,77.0,84 days 00:00:00.000000000
59,2000,Filter,Take A Picture,4:23,Rock,1999-11-27,2000-02-05,1.0,91.0,70 days 00:00:00.000000000
60,2000,"Martin, Ricky",She Bangs,4:02,Latin,2000-10-07,2000-12-02,1.0,38.0,56 days 00:00:00.000000000
61,2000,Mystikal,Shake Ya Ass,4:46,Rap,2000-08-12,2000-10-28,1.0,97.0,77 days 00:00:00.000000000
62,2000,BBMak,Back Here,3:35,Rock,2000-04-29,2000-07-29,1.0,99.0,91 days 00:00:00.000000000
63,2000,"Spears, Britney",From The Bottom Of My Broken Heart,4:30,Rock,2000-01-29,2000-02-26,1.0,76.0,28 days 00:00:00.000000000
64,2000,Third Eye Blind,Never Let You Go,3:57,Rock,2000-01-22,2000-04-01,1.0,65.0,70 days 00:00:00.000000000
65,2000,Red Hot Chili Peppers,Otherside,4:13,Rock,2000-02-12,2000-05-27,1.0,80.0,105 days 00:00:00.000000000
66,2000,Profyle,Liar,3:57,R&B,2000-09-16,2000-10-28,1.0,52.0,42 days 00:00:00.000000000
67,2000,Barenaked Ladies,Pinch Me,3:46,Rock,2000-09-09,2000-11-25,1.0,77.0,77 days 00:00:00.000000000
68,2000,Jagged Edge,He Can't Love U,3:30,Rock,1999-12-11,2000-01-08,1.0,54.0,28 days 00:00:00.000000000
69,2000,504 Boyz,Wobble Wobble,3:35,Rap,2000-04-15,2000-05-06,1.0,57.0,21 days 00:00:00.000000000
70,2000,Sting,Desert Rose,3:52,Rock,2000-05-13,2000-08-26,1.0,98.0,105 days 00:00:00.000000000
71,2000,Jay-Z,Big Pimpin',3:55,Rap,2000-04-22,2000-07-08,1.0,69.0,77 days 00:00:00.000000000
72,2000,Kid Rock,Only God Knows Why,5:27,Rock,2000-02-19,2000-04-15,1.0,63.0,56 days 00:00:00.000000000
73,2000,Foo Fighters,Learn To Fly,3:55,Rock,1999-10-16,2000-01-22,1.0,80.0,98 days 00:00:00.000000000
74,2000,"Dixie Chicks, The",Goodbye Earl,4:19,Country,2000-03-18,2000-05-06,1.0,40.0,49 days 00:00:00.000000000
75,2000,Guy,Dancin',4:08,R&B,1999-12-18,2000-01-01,1.0,46.0,14 days 00:00:00.000000000
76,2000,Lil Bow Wow,Bounce With Me,3:22,Rap,2000-08-19,2000-09-16,1.0,48.0,28 days 00:00:00.000000000
77,2000,Westlife,Swear It Again,4:07,Rock,2000-04-01,2000-07-01,1.0,96.0,91 days 00:00:00.000000000
78,2000,Train,Meet Virginia,3:55,Rock,1999-10-09,2000-01-22,1.0,76.0,105 days 00:00:00.000000000
79,2000,"Thomas, Carl",I Wish,3:50,Rock,2000-03-25,2000-05-13,1.0,75.0,49 days 00:00:00.000000000
80,2000,Hanson,This Time Around,4:14,Country,2000-04-22,2000-05-06,1.0,22.0,14 days 00:00:00.000000000
81,2000,"Simpson, Jessica",I Think I'm In Love With You,3:32,Pop,2000-07-01,2000-08-12,1.0,63.0,42 days 00:00:00.000000000
82,2000,Ludacris,What's Your Fantasy,4:16,Rap,2000-09-30,2000-12-16,1.0,89.0,77 days 00:00:00.000000000
83,2000,Lil' Zane,Callin' Me,3:43,Rap,2000-07-29,2000-09-02,1.0,83.0,35 days 00:00:00.000000000
84,2000,M2M,Don't Say You Love Me,3:41,Pop,1999-11-20,2000-01-08,1.0,72.0,49 days 00:00:00.000000000
85,2000,SoulDecision,Faded,3:25,Rock,2000-07-08,2000-09-09,1.0,94.0,63 days 00:00:00.000000000
86,2000,"Brock, Chad",Yes!,3:22,Country,2000-04-08,2000-07-01,1.0,90.0,84 days 00:00:00.000000000
87,2000,"Martin, Ricky",Shake Your Bon-Bon,3:08,Latin,1999-11-20,2000-02-12,1.0,74.0,84 days 00:00:00.000000000
88,2000,Vertical Horizon,You're A God,3:45,Rock,2000-08-26,2000-11-04,1.0,64.0,70 days 00:00:00.000000000
89,2000,Avant,Separated,4:13,Rock,2000-04-29,2000-05-20,1.0,62.0,21 days 00:00:00.000000000
90,2000,"Rimes, LeAnn",Big Deal,3:03,Country,1999-10-16,2000-01-01,1.0,71.0,77 days 00:00:00.000000000
91,2000,IMx,Stay The Night,3:37,Rap,1999-10-09,2000-01-08,1.0,84.0,91 days 00:00:00.000000000
92,2000,Dr. Dre,The Next Episode,2:38,Rap,2000-05-27,2000-07-29,1.0,78.0,63 days 00:00:00.000000000
93,2000,"Spears, Britney",Lucky,3:23,Rock,2000-08-12,2000-09-09,1.0,61.0,28 days 00:00:00.000000000
94,2000,Savage Garden,Crash And Burn,4:41,Rock,2000-04-08,2000-05-27,1.0,75.0,49 days 00:00:00.000000000
95,2000,Kandi,Don't Think I'm Not,3:50,Rock,2000-08-05,2000-10-07,1.0,66.0,63 days 00:00:00.000000000
96,2000,Sammie,I Like It,4:09,Rock,2000-01-29,2000-04-15,1.0,85.0,77 days 00:00:00.000000000
97,2000,Goo Goo Dolls,Broadway,3:54,Rock,2000-04-22,2000-07-01,1.0,74.0,70 days 00:00:00.000000000
98,2000,"Moore, Mandy",I Wanna Be With You,4:12,Pop,2000-06-17,2000-08-12,1.0,69.0,56 days 00:00:00.000000000
99,2000,Dr. Dre,Forgot About Dre,3:42,Rap,2000-01-22,2000-03-25,1.0,75.0,63 days 00:00:00.000000000
100,2000,D'Angelo,Untitled (How Does It Feel),7:10,R&B,2000-01-22,2000-02-19,1.0,77.0,28 days 00:00:00.000000000
101,2000,"Messina, Jo Dee",That's The Way,3:17,Country,2000-06-24,2000-08-26,1.0,78.0,63 days 00:00:00.000000000
102,2000,Avant,My First Love,4:28,Rock,2000-11-04,2000-12-16,1.0,70.0,42 days 00:00:00.000000000
103,2000,Son By Four,A Puro Dolor (Purest Of Pain),3:30,Latin,2000-04-08,2000-08-19,1.0,80.0,133 days 00:00:00.000000000
104,2000,Da Brat,What'Chu Like,3:57,Rap,2000-06-03,2000-08-12,1.0,71.0,70 days 00:00:00.000000000
105,2000,DMX,Party Up (Up In Here),3:45,Rap,2000-02-26,2000-04-22,1.0,88.0,56 days 00:00:00.000000000
106,2000,"Dixie Chicks, The",Cowboy Take Me Away,4:51,Country,1999-11-27,2000-01-29,1.0,79.0,63 days 00:00:00.000000000
107,2000,"McGraw, Tim",My Next Thirty Years,3:37,Country,2000-10-21,2000-12-16,1.0,73.0,56 days 00:00:00.000000000
108,2000,"Tritt, Travis",Best Of Intentions,4:15,Country,2000-08-19,2000-12-02,1.0,97.0,105 days 00:00:00.000000000
109,2000,Alice Deejay,Better Off Alone,6:50,Electronica,2000-04-08,2000-06-03,1.0,79.0,56 days 00:00:00.000000000
110,2000,Hoku,Another Dumb Blonde,3:47,Pop,2000-02-19,2000-04-08,1.0,69.0,49 days 00:00:00.000000000
111,2000,"Houston, Whitney",I Learned From The Best,4:18,Rock,2000-02-19,2000-03-25,1.0,83.0,35 days 00:00:00.000000000
112,2000,Counting Crows,Hanginaround,4:07,Rock,1999-11-06,2000-01-29,1.0,84.0,84 days 00:00:00.000000000
113,2000,Mary Mary,Shackles (Praise You),3:12,Rock,2000-03-25,2000-05-13,1.0,90.0,49 days 00:00:00.000000000
114,2000,"Carey, Mariah",Crybaby,5:19,Rock,2000-06-24,2000-06-24,1.0,28.0,0 days 00:00:00.000000000
115,2000,"McGraw, Tim",My Best Friend,4:33,Country,1999-11-27,2000-01-29,1.0,85.0,63 days 00:00:00.000000000
116,2000,Sugar Ray,Falls Apart,4:15,Rock,2000-01-15,2000-02-19,1.0,70.0,35 days 00:00:00.000000000
117,2000,Madonna,American Pie,4:30,Rock,2000-02-19,2000-03-04,1.0,43.0,14 days 00:00:00.000000000
118,2000,"Jones, Donell",Where I Wanna Be,6:22,Rock,2000-04-22,2000-07-08,1.0,81.0,77 days 00:00:00.000000000
119,2000,"Paisley, Brad",We Danced,3:45,Country,2000-10-14,2000-12-16,1.0,71.0,63 days 00:00:00.000000000
120,2000,Lonestar,What About Now,3:30,Country,2000-06-10,2000-08-19,1.0,78.0,70 days 00:00:00.000000000
121,2000,"Backstreet Boys, The",The One,3:46,Rock,2000-05-27,2000-07-01,1.0,58.0,35 days 00:00:00.000000000
122,2000,"Keith, Toby",How Do You Like Me Now?!,3:29,Country,2000-01-29,2000-04-08,1.0,77.0,70 days 00:00:00.000000000
123,2000,"Strait, George",The Best Day,3:24,Country,2000-01-29,2000-04-22,1.0,73.0,84 days 00:00:00.000000000
124,2000,"Dixie Chicks, The",Without You,3:32,Country,2000-10-07,2000-12-23,1.0,80.0,77 days 00:00:00.000000000
125,2000,Musiq,Just Friends (Sunny),4:02,Rap,2000-10-14,2000-12-30,1.0,89.0,77 days 00:00:00.000000000
126,2000,"McEntire, Reba",What Do You Say,3:26,Country,1999-10-30,2000-01-29,1.0,88.0,91 days 00:00:00.000000000
127,2000,"Braxton, Toni",Just Be A Man About It,4:10,Rock,2000-07-29,2000-09-02,1.0,76.0,35 days 00:00:00.000000000
128,2000,"Iglesias, Enrique",Rhythm Divine,7:35,Latin,1999-12-04,2000-01-22,1.0,90.0,49 days 00:00:00.000000000
129,2000,"Fabian, Lara",I Will Love Again,3:43,Pop,2000-06-10,2000-08-12,1.0,91.0,63 days 00:00:00.000000000
130,2000,Bon Jovi,It's My Life,3:44,Rock,2000-08-12,2000-09-30,1.0,64.0,49 days 00:00:00.000000000
131,2000,"Evans, Sara",Born To Fly,5:36,Country,2000-10-21,2000-12-30,1.0,77.0,70 days 00:00:00.000000000
132,2000,"Chesney, Kenny",I Lost It,3:54,Country,2000-10-21,2000-12-23,1.0,75.0,63 days 00:00:00.000000000
133,2000,J-Shin,One Night Stand,4:34,R&B,1999-12-25,2000-02-26,1.0,96.0,63 days 00:00:00.000000000
134,2000,Eve,Love Is Blind,3:51,Rap,2000-01-08,2000-02-19,1.0,94.0,42 days 00:00:00.000000000
135,2000,Aaliyah,I Don't Wanna,4:15,Rock,2000-01-29,2000-03-04,1.0,84.0,35 days 00:00:00.000000000
136,2000,"Montgomery, John Michael",The Little Girl,3:52,Country,2000-09-09,2000-10-28,1.0,81.0,49 days 00:00:00.000000000
137,2000,"Carter, Aaron",Aaron's Party (Come Get It),3:23,R&B,2000-08-26,2000-09-16,1.0,99.0,21 days 00:00:00.000000000
138,2000,"Vassar, Phil",Just Another Day In Paradise,3:54,Country,2000-09-30,2000-12-02,1.0,81.0,63 days 00:00:00.000000000
139,2000,Ice Cube,You Can Do It,4:20,Rap,1999-12-04,2000-01-15,1.0,86.0,42 days 00:00:00.000000000
140,2000,"Wills, Mark",Back At One,4:00,Country,2000-01-15,2000-02-26,1.0,89.0,42 days 00:00:00.000000000
141,2000,Lucy Pearl,Dance Tonight,3:45,R&B,2000-05-20,2000-07-29,1.0,80.0,70 days 00:00:00.000000000
142,2000,"Jackson, Alan",It Must Be Love,2:53,Country,2000-06-24,2000-09-02,1.0,76.0,70 days 00:00:00.000000000
143,2000,"Griggs, Andy",She's More,3:19,Country,2000-03-11,2000-06-10,1.0,81.0,91 days 00:00:00.000000000
144,2000,No Doubt,Simple Kind Of Life,4:11,Rock,2000-07-01,2000-07-22,1.0,50.0,21 days 00:00:00.000000000
145,2000,"Jean, Wyclef",911,4:00,Rap,2000-10-07,2000-11-25,1.0,77.0,49 days 00:00:00.000000000
146,2000,Rascal Flatts,Prayin' For Daylight,3:36,Country,2000-05-06,2000-08-12,1.0,87.0,98 days 00:00:00.000000000
147,2000,Vitamin C,Graduation (Friends Forever),4:23,Rock,2000-04-15,2000-06-10,1.0,81.0,56 days 00:00:00.000000000
148,2000,"Gilman, Billy",One Voice,4:07,Country,2000-06-17,2000-09-02,1.0,86.0,77 days 00:00:00.000000000
149,2000,Lonestar,Smile,3:33,Country,1999-12-18,2000-02-12,1.0,89.0,56 days 00:00:00.000000000
150,2000,"Rogers, Kenny",Buy Me A Rose,3:46,Country,2000-03-11,2000-05-06,1.0,79.0,56 days 00:00:00.000000000
151,2000,"Lawrence, Tracy",Lessons Learned,2:55,Country,2000-01-29,2000-04-08,1.0,80.0,70 days 00:00:00.000000000
152,2000,"Strait, George",Go On,3:48,Country,2000-08-26,2000-10-28,1.0,71.0,63 days 00:00:00.000000000
153,2000,Sisqo,Got To Get It,3:52,Rock,1999-11-20,2000-01-22,1.0,92.0,63 days 00:00:00.000000000
154,2000,Baha Men,Who Let The Dogs Out,3:17,R&B,2000-07-22,2000-10-21,1.0,99.0,91 days 00:00:00.000000000
155,2000,"Walker, Clay",The Chain Of Love,5:03,Country,2000-04-15,2000-06-10,1.0,73.0,56 days 00:00:00.000000000
156,2000,"McBride, Martina",Love's The Only House,5:13,Country,2000-02-05,2000-04-15,1.0,79.0,70 days 00:00:00.000000000
157,2000,Amber,Sexual (Li Da Di),4:38,Rock,1999-07-17,2000-02-12,1.0,99.0,210 days 00:00:00.000000000
158,2000,"Tippin, Aaron",Kiss This,2:53,Country,2000-08-26,2000-10-21,1.0,74.0,56 days 00:00:00.000000000
159,2000,SheDaisy,I Will.. But,3:40,Country,2000-07-15,2000-09-16,1.0,78.0,63 days 00:00:00.000000000
160,2000,"Raye, Collin",Couldn't Last A Moment,3:40,Country,2000-03-18,2000-06-24,1.0,91.0,98 days 00:00:00.000000000
161,2000,Black Rob,Whoa!,4:04,Rap,2000-03-04,2000-04-15,1.0,78.0,42 days 00:00:00.000000000
162,2000,"Jackson, Alan",Pop A Top,3:04,Country,1999-11-13,2000-01-22,1.0,79.0,70 days 00:00:00.000000000
163,2000,"Black, Clint",Been There,5:28,Country,2000-02-19,2000-04-15,1.0,87.0,56 days 00:00:00.000000000
164,2000,Common,The Light,3:55,Rap,2000-08-05,2000-09-09,1.0,75.0,35 days 00:00:00.000000000
165,2000,"Vassar, Phil",Carlene,4:07,Country,2000-03-04,2000-04-22,1.0,75.0,49 days 00:00:00.000000000
166,2000,"Jackson, Alan",www.memory,2:36,Country,2000-11-04,2000-12-23,1.0,75.0,49 days 00:00:00.000000000
167,2000,Vitamin C,The Itch,3:30,Rock,2000-12-02,2000-12-16,1.0,86.0,14 days 00:00:00.000000000
168,2000,"Eastsidaz, The",G'D Up,4:27,Rap,2000-01-08,2000-02-12,1.0,77.0,35 days 00:00:00.000000000
169,2000,Ideal,Whatever,3:48,R&B,2000-06-10,2000-08-19,1.0,75.0,70 days 00:00:00.000000000
170,2000,"Thomas, Carl",Emotional,4:31,Rock,2000-11-25,2000-12-30,1.0,77.0,35 days 00:00:00.000000000
171,2000,Ginuwine,None Of Ur Friends Business,4:12,Rock,1999-12-11,2000-01-22,1.0,94.0,42 days 00:00:00.000000000
172,2000,"Davidson, Clay",Unconditional,3:56,Country,2000-03-25,2000-06-17,1.0,97.0,84 days 00:00:00.000000000
173,2000,DMX,What You Want,4:05,Rap,2000-07-01,2000-09-23,1.0,98.0,84 days 00:00:00.000000000
174,2000,"John, Elton",Someday Out Of The Blue,4:41,Rock,2000-04-22,2000-05-06,1.0,56.0,14 days 00:00:00.000000000
175,2000,Pearl Jam,Nothing As It Seems,5:20,Rock,2000-05-13,2000-05-13,1.0,49.0,0 days 00:00:00.000000000
176,2000,Mya,The Best Of Me,4:12,Rock,2000-04-15,2000-05-20,1.0,85.0,35 days 00:00:00.000000000
177,2000,"Heatherly, Eric",Flowers On The Wall,3:16,Country,2000-04-29,2000-08-12,1.0,95.0,105 days 00:00:00.000000000
178,2000,Eminem,Stan,5:26,Rap,2000-11-04,2000-12-02,1.0,78.0,28 days 00:00:00.000000000
179,2000,"McEntire, Reba",I'll Be,4:23,Country,2000-05-13,2000-07-29,1.0,89.0,77 days 00:00:00.000000000
180,2000,"Lopez, Jennifer",Feelin' Good,4:28,Latin,2000-02-19,2000-04-08,1.0,79.0,49 days 00:00:00.000000000
181,2000,"Urban, Keith",Your Everything,4:10,Country,2000-07-15,2000-09-16,1.0,81.0,63 days 00:00:00.000000000
182,2000,TLC,Dear Lie,4:36,Rock,2000-02-12,2000-03-04,1.0,63.0,21 days 00:00:00.000000000
183,2000,"Gill, Vince",Feels Like Love,4:13,Country,2000-09-02,2000-11-18,1.0,82.0,77 days 00:00:00.000000000
184,2000,"Houston, Whitney",Could I Have This Kiss Forever,3:54,Rock,2000-06-17,2000-08-05,1.0,74.0,49 days 00:00:00.000000000
185,2000,Bloodhound Gang,The Bad Touch,4:20,R&B,2000-03-18,2000-04-15,1.0,70.0,28 days 00:00:00.000000000
186,2000,"Williams, Robbie",Angels,3:56,Rock,1999-11-20,2000-01-22,1.0,85.0,63 days 00:00:00.000000000
187,2000,"Messina, Jo Dee",Because You Love Me,3:50,Country,2000-01-29,2000-03-11,1.0,83.0,42 days 00:00:00.000000000
188,2000,"Keith, Toby",Country Comes To Town,3:39,Country,2000-08-05,2000-10-14,1.0,82.0,70 days 00:00:00.000000000
189,2000,Beenie Man,Girls Dem Sugar,4:17,Reggae,2000-10-21,2000-12-02,1.0,72.0,42 days 00:00:00.000000000
190,2000,"Hill, Faith",Let's Make Love,4:11,Rap,2000-08-12,2000-10-21,1.0,83.0,70 days 00:00:00.000000000
191,2000,Kelis,Caught Out There,4:09,R&B,1999-12-04,2000-01-08,1.0,84.0,35 days 00:00:00.000000000
192,2000,Jay-Z,Anything,3:41,Rap,2000-02-26,2000-03-11,1.0,72.0,14 days 00:00:00.000000000
193,2000,3 Doors Down,Loser,4:24,Rock,2000-10-21,2000-12-02,1.0,76.0,42 days 00:00:00.000000000
194,2000,Brooks & Dunn,You'll Always Be Loved By Me,2:58,Country,2000-06-10,2000-09-09,1.0,95.0,91 days 00:00:00.000000000
195,2000,"Chesney, Kenny",What I Need To Do,4:05,Country,2000-04-01,2000-06-10,1.0,79.0,70 days 00:00:00.000000000
196,2000,"Stone, Angie",No More Rain (In This Cloud),4:42,R&B,1999-12-25,2000-01-22,1.0,86.0,28 days 00:00:00.000000000
197,2000,Da Brat,That's What I'm Looking For,3:44,Rap,2000-02-26,2000-04-15,1.0,93.0,49 days 00:00:00.000000000
198,2000,SheDaisy,This Woman Needs,3:20,Country,2000-02-05,2000-03-04,1.0,82.0,28 days 00:00:00.000000000
199,2000,Papa Roach,Last Resort,3:19,Rock,2000-07-29,2000-12-02,1.0,75.0,126 days 00:00:00.000000000
200,2000,"Adams, Yolanda",Open My Heart,5:30,Gospel,2000-08-26,2000-10-21,1.0,76.0,56 days 00:00:00.000000000
201,2000,Shyne,Bad Boyz,4:22,Rap,2000-09-09,2000-10-28,1.0,94.0,49 days 00:00:00.000000000
202,2000,R.E.M.,The Great Beyond,4:10,Rock,1999-12-25,2000-01-29,1.0,79.0,35 days 00:00:00.000000000
203,2000,"Diffie, Joe",It's Always Somethin',2:55,Country,2000-08-12,2000-09-16,1.0,81.0,35 days 00:00:00.000000000
204,2000,"McGraw, Tim",Some Things Never Change,3:56,Country,2000-05-13,2000-07-01,1.0,76.0,49 days 00:00:00.000000000
205,2000,"Henley, Don",Taking You Home,4:08,Rock,2000-06-24,2000-08-05,1.0,79.0,42 days 00:00:00.000000000
206,2000,Eminem,The Way I Am,4:40,Rap,2000-08-26,2000-09-30,1.0,87.0,35 days 00:00:00.000000000
207,2000,Nas,You Owe Me,3:51,R&B,2000-03-25,2000-04-15,1.0,74.0,21 days 00:00:00.000000000
208,2000,Sister Hazel,Change Your Mind,4:02,Rock,2000-07-15,2000-08-05,1.0,75.0,21 days 00:00:00.000000000
209,2000,Puff Daddy,Best Friend,5:33,Rap,2000-02-12,2000-02-19,1.0,65.0,7 days 00:00:00.000000000
210,2000,"McBride, Martina",There You Are,3:26,Country,2000-09-09,2000-10-21,1.0,79.0,42 days 00:00:00.000000000
211,2000,Usher,Pop Ya Collar,3:36,Rock,2000-11-04,2000-11-18,1.0,68.0,14 days 00:00:00.000000000
212,2000,Lil' Kim,No Matter What They Say,4:12,Rap,2000-07-15,2000-08-05,1.0,80.0,21 days 00:00:00.000000000
213,2000,LFO,I Don't Wanna Kiss You Goodnight,5:00,Rock,2000-04-15,2000-04-22,1.0,63.0,7 days 00:00:00.000000000
